# wall_ms clock_ms total_ms local_h_ms committed_ms peer0_ms peer1_ms step_ms stall pcount tx_pkts rx_pkts since_rx_ms sess game flags grace_ms syncwait countdn p54bc sync_ms sim_burst icon_calls icon_shown srtt0_ms srtt1_ms rttvar0_ms rttvar1_ms ipdv0_ms ipdv1_ms loss0_pm loss1_pm late_p50_ms late_tail95_ms late_tail99_ms late_n late_peer
2800 2800 2800 2900 2800 2800 2800 100 0 2 56 56 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 60 19 10 128 1
2900 2900 2900 3000 2900 2900 2900 100 0 2 58 58 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 59 18 9 128 1
3000 3000 3000 3100 3000 3000 3000 100 0 2 60 60 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 58 22 11 128 1
3100 3100 3100 3200 3100 3100 3100 100 0 2 62 62 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 57 21 10 128 1
3200 3200 3200 3300 3200 3200 3200 100 0 2 64 64 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 56 20 9 128 1
3300 3300 3300 3400 3300 3300 3300 100 0 2 66 66 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 55 19 11 128 1
3400 3400 3400 3500 3400 3400 3400 100 0 2 68 68 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 54 18 10 128 1
3500 3500 3500 3600 3500 3500 3500 100 0 2 70 70 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 60 22 9 128 1
3600 3600 3600 3700 3600 3600 3600 100 0 2 72 72 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 59 21 11 128 1
3700 3700 3700 3800 3700 3700 3700 100 0 2 74 74 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 58 20 10 128 1
3800 3800 3800 3900 3800 3800 3800 100 0 2 76 76 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 57 19 9 128 1
3900 3900 3900 4000 3900 3900 3900 100 0 2 78 78 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 56 18 11 128 1
4000 4000 4000 4100 4000 4000 4000 100 0 2 80 80 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 55 22 10 128 1
4100 4100 4100 4200 4100 4100 4100 100 0 2 82 82 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 54 21 9 128 1
4200 4200 4200 4300 4200 4200 4200 100 0 2 84 84 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 60 20 11 128 1
4300 4300 4300 4400 4300 4300 4300 100 0 2 86 86 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 59 19 10 128 1
4400 4400 4400 4500 4400 4400 4400 100 0 2 88 88 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 58 18 9 128 1
4500 4500 4500 4600 4500 4500 4500 100 0 2 90 90 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 57 22 11 128 1
4600 4600 4600 4700 4600 4600 4600 100 0 2 92 92 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 56 21 10 128 1
4700 4700 4700 4800 4700 4700 4700 100 0 2 94 94 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 55 20 9 128 1
4800 4800 4800 4900 4800 4800 4800 100 0 2 96 96 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 54 19 11 128 1
4900 4900 4900 5000 4900 4900 4900 100 0 2 98 98 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 60 18 10 128 1
5000 5000 5000 5100 5000 5000 5000 100 0 2 100 100 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 59 22 9 128 1
5100 5100 5100 5200 5100 5100 5100 100 0 2 102 102 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 58 21 11 128 1
5200 5200 5200 5300 5200 5200 5200 100 0 2 104 104 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 57 20 10 128 1
5300 5300 5300 5400 5300 5300 5300 100 0 2 106 106 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 56 19 9 128 1
5400 5400 5400 5500 5400 5400 5400 100 0 2 108 108 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 55 18 11 128 1
5500 5500 5500 5600 5500 5500 5500 100 0 2 110 110 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 54 22 10 128 1
5600 5600 5600 5700 5600 5600 5600 100 0 2 112 112 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 60 21 9 128 1
5700 5700 5700 5800 5700 5700 5700 100 0 2 114 114 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 59 20 11 128 1
5800 5800 5800 5900 5800 5800 5800 100 0 2 116 116 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 58 19 10 128 1
5900 5900 5900 6000 5900 5900 5900 100 0 2 118 118 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 57 18 9 128 1
6000 6000 6000 6100 6000 6000 6000 100 0 2 120 120 40 3 3 0x00 0 0 0 2 0 1 0 0 80 n/a 9 n/a 6 n/a 0 n/a 56 22 11 128 1
